PERIODO,ID,BAJA,IMPAGO,REINSTALACION,COST_X
202101,LVLL80,1,0,0,55.3
202011,LV048ZV0,0,3,0,45.6
202101,LVL0090LO,2,2,2,9.9
202011,LLO9LOV09FA,0,3,0,64.2
202102,L00FA8ZL9,3,0,0,74.9
202012,LZ48900FA,0,3,0,50.8
202012,V84LOL,1,0,0,63.4
202102,L90ZLLOFAL,0,3,0,26.1
202011,VV8ZZ8V,0,1,1,32
202102,LZ80FAV04,2,0,0,48.6
202011,LVV0LLFAL,0,1,0,58.7
202012,LLOZZMFA04,0,3,3,8
202011,LO04Z8094,0,1,1,84.1
202012,8000LFAFAFA,3,3,3,81.6
202102,LV000LO08,0,3,3,86.1
202012,LVLOL98LV,0,1,0,74.2
202012,90L00LOFA0,0,2,2,18.3
202101,900LO4L89,0,3,0,84.1
202102,900ZZFAFA9,2,0,0,41.4
202102,L890FAL0L,0,1,1,48.8
202102,9004FAL89,0,3,0,10.6
202011,L90FA0004,0,3,0,85.3
202011,L8FA0Z0VLO,0,3,0,3.6
202011,ZZVLOFALO0L,0,2,0,96.2
202102,L4Z04LO9Z,0,2,2,57.8
202011,L9LO080ZFA,0,3,3,75.3
202101,900VZ,1,0,0,19.9
202102,FA0V8LLO4Z,0,3,0,55.5
202012,LZ4LVVLFA,0,3,0,41.3
202102,L49LO9FAFA4,1,0,0,57.6
202101,LL0904FA8,0,2,0,16.6
202102,ZZ48LO48LO,1,0,0,51
202101,LVLOLV0LOL,0,3,3,3.2
202102,LZ9LO8V,0,2,0,53.1
202012,L8VLOL0LFA,0,3,0,20.8
202101,FA0L00FAFA9,0,3,3,11
202012,LLZFAFA890,0,1,0,35.9
202011,LO0LL0LOZ9,0,1,0,80.1
202102,L88VLOVZFA,0,3,0,64.9
202102,L80L0L9L,0,3,0,93.6
202101,V0Z8ZFAL,3,0,0,11.3
202102,L9V08Z40,0,3,0,63.1
202102,L8FAFAFA4V8,0,3,0,39.7
202102,8ZV4084,3,0,0,64.5
202101,L80FAFA0FA0,0,3,666666,22.9
202102,FA04L8LZFA,0,1,1,34.7
202012,LZ90LOVLLO,0,1,0,56.8
202012,L49LLZ84,3,0,0,20.5
202012,L488L9LLO,3,0,0,50.9
202011,LVZM0000,NULL,3,3,19
202012,LZMZFA0LLO,0,3,0,99.3
202101,FA00LO8804,0,3,0,21.1
202011,V0FA9VV,3,0,0,32.7
202011,FA0FA8ZMLLO,3,0,0,1.2
202101,LZLOVLO8ZL,0,2,0,84.6
202012,LV9FA9000,0,3,0,73.9
202012,LFAL9LO9ZLO,2,0,0,88.2
202011,L80FA0LZ9,0,3,0,95.7
202011,LLLOL4L,0,1,0,30.4
202011,L9LFA8V0LO,0,2,0,94.5
202102,LZ0VFAV0L,0,3,3,23.3
202102,L8LOZZM8L,0,3,0,55.3
202011,Z0LVZ4V8,0,1,0,40.1
202011,ZZLOLFA009,3,0,0,46.7
202011,LV9LO9008,0,3,0,10.8
202101,FA00ZLO00FA,0,1,0,20
202101,LLO9ZV4,0,2,2,3.8
202102,L404FA89LO,3,0,0,87.4
202011,L0FA9ZL00,0,2,2,45.2
202011,LFALOLFAV90,2,0,0,72
202012,ZVZMFAVL0,0,3,0,93.2
202011,LV0Z000Z,0,3,0,98.8
202012,FA0FAFAL9Z9,0,2,2,86.4
202011,LZ0V08FAZ,0,3,0,48.2
202102,V0L4LFAFALO,0,1,0,22.8
202102,LLOL0L4L8,0,3,0,15.2
202012,V0LO08FAFALO,3,0,0,80.5
202102,LLOV4VFA0LO,0,1,0,19.4
202011,V00LO080LO,1,0,0,54.7
202101,90084FA,0,2,2,45.5
202102,LZ8Z4LFA4,0,3,0,96.1
202011,LFA408LO9FA,0,3,0,69.8
202011,L90ZV90L,0,3,0,73.1
202011,V0Z0Z449,0,3,0,17.2
202101,L08FA8L9Z,0,3,0,30.1
202102,L0L49000,0,1,0,23.1
202011,Z0LOLLO0VLO,0,1,1,67.6
202012,LO000L89LO,1,0,0,44.7
202102,LLO08LO8FAL,0,3,0,94.8
202012,FA00ZFA8ZFA,0,3,0,18.1
202102,L8L4L098,2,0,0,13.9
202101,LVFA8FALO00,1,0,0,25.1
202012,L9Z0900FA,0,2,0,59.1
202011,L49V0Z8FA,3,0,0,7.7
202012,LVZMV9Z0,0,1,0,58.4
202012,L9LO4080FA,0,3,0,60.6
202011,L80LOVVZFA,0,3,0,3.3
202101,V00844L8,0,3,0,55.1
202012,FA04049FA0,0,3,0,38.8
202011,L04ZZLOFALO,0,3,0,8.4
202011,Z0488ZL0,3,0,0,42.2
202011,LO0FA0LO89L,1,0,0,36
202101,LFAL4ZLO,3,0,0,68
202102,LZ08V0L0,1,0,0,97.1
202012,9L4LFA40,0,3,3,34.7
202102,LO0094VFALO,3,0,0,45.9
202012,LZ0LO8FALOFA,0,1,1,91.8
202011,LZZV8LOFA9,0,3,0,73.8
202012,90LLO0LOZ8,0,1,2,66.7
202012,LZMFA8L,0,1,1,19.5
202101,LO0ZFA09LO8,0,1,0,32.5
202012,LZ8FA9ZLO0,3,0,0,78.2
202101,L900ZFAL0,0,3,0,90
202101,L00V4L9LO,0,2,0,18.2
202011,L00L4ZZZ,3,0,0,84.4
202011,L88ZFA49L,NULL,3,0,21.5
202102,LO0ZLLOVL4,0,1,1,64.2
202012,V0FA9040V,1,0,0,88.6
202102,L08008VLO,0,2,0,43.5
202012,LLFALLO00V,0,1,0,80.4
202012,L0ZVFA84LO,3,0,0,77.1
202101,L8L0LO08Z,3,0,0,64.5
202012,FA040980FA,0,2,0,91
202102,FA0VLV0LO0,0,2,0,12.1
202012,LVLO40L0Z,2,0,0,57.1
202011,L0LOZ09Z4,0,3,0,84.9
202012,8L00LO09,0,1,0,9.6
202102,LZV88FA89,0,3,0,90.1
202012,L484LOFA0Z,0,3,0,20.6
202012,L0L4ZM00,3,0,0,41.7
202011,Z0L9LOZLL,3,0,0,13
202012,V0LO090L0,3,0,0,54.7
202011,LZ48490LO,0,2,0,85.2
202102,LO04V80Z0,0,3,0,71.5
202012,L9Z8Z00Z,0,3,0,89.1
202101,FA004LFA,0,1,0,41.9
202012,9FA0LVFALO,3,0,0,44.7
202101,LVLO84L,0,3,0,6.4
202012,LZMLOLL4LO,0,1,0,92.2
202011,Z0Z0Z40V,0,2,0,77
202102,LLOZ00848,0,2,0,99.6
202011,Z0VZ4LFAL,0,2,0,36
202102,FA00V4989,0,2,2,84.1
202102,9V894FALO,0,3,3,5.9
202011,V0L004VV,0,1,0,81.3
202012,L94Z4VFALO,0,3,0,30.7
202102,ZZZ8LO84Z,0,3,3,43.7
202011,VL80448,1,0,0,11.9
202102,ZZFAZ9800,1,0,0,46
202101,LV9LOLL90,0,3,0,50.9
202102,FA0Z98Z04,0,1,0,68.3
202011,L8880VLL,0,3,0,82.9
202102,L4VZZ0,0,2,0,13.9
202101,LL8V0VLOV,0,1,1,80.7
202012,L9LOFAVFA9V,0,3,0,70.5
202101,LLOVL98Z8,3,0,0,35.1
202012,LLO00FA9V4,0,2,0,28.7
202011,LO0Z0L9LO8,0,2,0,70.6
202101,90004Z8V,3,0,0,20.5
202102,L4FALFAL04,3,0,0,94.9
202101,LLOZV9V8V,0,3,0,12.7
202101,L9FA4LO800,0,1,0,46.7
202101,ZZ0Z4V48,0,3,0,96.7
202012,L88ZFA94Z,0,2,0,6
202011,8009Z040,0,1,0,86
202102,LLVLOZVFAFA,0,2,0,28.2
202011,LLO8VL0LOV,0,3,3,33.1
202102,L8040444,0,2,0,13.6
202102,LZL0V449,1,0,0,34.6
202012,LV4V088V,0,3,0,92.9
202102,LV0LZ08L,0,2,0,17.9
202011,L9ZLO040L,0,2,2,22.6
202012,FA0400980,0,3,0,68.7
202012,ZVLOZLOZ90,0,1,0,78.6
202102,L8ZM8LL0,0,3,0,12.3
202012,V0L9VVZ,0,3,0,28.3
202011,L0Z8FALO00,0,1,0,51.5
202101,LFA4LO8LOVL,0,2,0,31.1
202102,FA0ZLL90FA,0,3,0,1.1
202012,L90400LOFA,0,3,3,17.2
202011,L90VZL09,0,3,0,3.7
202102,L094LOVLFA,NULL,3,3,30.9
202011,Z0FAFA8LO9V,0,3,0,38.2
202012,L484LZ8V,0,3,3,59.2
202101,FA0L88LO,0,3,0,82.1
202011,LLLOZ44Z0,0,3,3,89.2
202011,L88Z4ZZLO,0,1,0,35
202011,900LZM4,3,0,0,42.6
202102,L8ZM49V9,0,2,0,21.2
202012,LVV4LO9LLO,0,3,0,42.6
202101,LZ9L9800,3,0,0,9.9
202101,FA0L0FA89Z,0,1,0,53.5
202101,LLO4ZZV04,0,2,0,71.4
202011,L8LVZFAL8,0,2,0,47.7
202101,L9V4FAFA0L,0,2,2,2
202012,L90ZFA0LOZ,0,3,0,2.8
202101,L09LO4004,3,0,0,38.8
202011,LFA88809Z,1,0,0,66.7
202011,LLO90FALOL9,0,2,0,64.4
202102,LO0ZLOFA4ZZ,0,1,1,50.3
202011,L90LOLLO,0,2,2,88.3
202102,VLLOLFA0LO,3,0,0,24.4
202102,L9L0FALV0,0,3,0,88.5
202101,L0840ZZV,2,0,0,88.9
202101,L9VFA000V,0,2,2,93.1
202101,V00900FAV,3,0,0,45.6
202101,ZZ4809ZL,0,2,0,24.3
202101,L0FAFA09FA0,2,0,0,2.4
202101,L8V400V0,0,2,0,23
202102,LFAZZZ94L,2,0,0,88.7
202012,L98VLO90V,0,2,0,7.9
202011,L4VVVZFA4,0,1,0,27.7
202102,FA0LOFA9008,0,3,0,80.3
202101,L9004LV0,0,1,0,38.4
202012,LZ8Z880FA,0,3,0,63.5
202012,LV0V44V9,3,0,0,72.2
202102,L9V00V,0,3,0,96.1
202011,V0FA9LLO4L,3,0,0,17.3
202101,L88Z0LFAL,0,3,0,25.9
202101,FA0ZZL9LL,0,1,0,9.3
202012,LZ0008L0,0,1,0,22.6
202101,LZLO8VLO,0,1,0,35.7
202102,L08894LZ,0,3,3,42.7
202012,LVL0LO89LO,0,3,0,88.8
202011,LL0FALVV4,0,2,0,30.1
202012,L9FAVFA4LO8,0,1,0,25.2
202102,800FA4ZMLO,0,2,0,5.2
202101,FA04008L8,0,3,0,28.8
202012,LVLOV9LO9V,0,3,0,25.7
202101,LZLOZ448FA,0,3,0,28.5
202011,LVZZLO40Z,0,2,0,11.1
202012,L8090094,0,1,0,40.1
202011,LFALOZLOFAL4,0,2,2,14.8
202101,L80VV048,0,3,0,27.8
202012,ZZVVLLFAZ,3,0,0,18.3
202102,LV9ZMFA98,0,3,0,28.8
202101,LZMZM89LO,2,0,0,11.6
202012,L90FA0ZM9,0,2,0,86.6
202011,ZVLOFALVFA9,0,3,3,82.2
202011,L9LO8VZ00,0,3,0,11.7
202011,L9FA8V0L0,0,3,0,4.2
202011,LZ44Z0,0,2,0,71.6
202102,V0004880,NULL,1,0,62.8
202011,L0LOL0LOVV,0,2,0,55.1
202012,LVFA4L9VFA,0,2,0,92.9
202011,L890L804,0,2,0,32.4
202012,L80048FAV,0,3,0,65
202102,FA04FAV449,0,3,0,64.6
202012,L0LOZLLOFAFA,0,2,0,86.5
202101,LV4ZMLO00,0,2,0,71.5
202102,90084FA09,0,2,0,88.3
202102,L80FALOV8FA,3,0,0,88.8
202101,L890VL,0,2,0,23.5
202011,LZVLOZFA44,0,3,3,8.5
202012,L9V88L0LO,0,3,0,73.4
202102,L8VLO8ZLOFA,0,1,0,66.1
202102,L4L88V0LO,2,0,0,99.1
202012,L09L40ZZ,0,3,0,54
202102,L8409ZFA0,3,0,0,3.6
202011,LV88ZFAFAV,0,2,0,97.7
202101,FA0LFAL9VFA,0,1,0,22.4
202011,L4LFAV844,1,0,0,31.3
202101,V0LO800FA,0,1,0,95.5
202101,L9L9FALL4,0,1,1,93.3
202012,L8LOZ9LOL0,0,2,0,1.9
202102,LLO08LV,0,3,3,13.3
202012,L4FA8LOFAV0,2,0,0,4.6
202012,L880ZMFA4,0,3,0,64.7
202101,FA0LOL40V0,0,2,0,18.5
202011,L44FA4LLO8,3,0,0,91.7
202101,848L0FAZ,1,0,0,79
202012,L4L004,1,0,0,82.4
202012,LV0ZL8FALO,0,3,0,82.3
202101,Z00VV009,3,0,0,42.3
202011,90LFA0VFA0,0,3,3,36.6
202102,ZVLOL9ZMV,0,3,0,28
202101,L448LO0L0,0,1,0,73.8
202101,L9ZLOV048,0,3,0,61.1
202101,LV498LOFALO,0,3,0,0.5
202011,LVZ8ZLO,0,3,3,88.9
202012,Z0L09V44,3,0,0,36.5
202102,L8Z0V9VLO,0,2,0,38
202011,L49FA0V0L,0,3,3,62.6
202012,LVZL0908,0,3,0,8.1
202101,90L40LOLL,2,0,0,12
202101,LLO8L4ZZ0,1,0,0,95.9
202101,FA00FA9490,0,1,0,94
202011,LVVVLOZ,0,3,0,17.5
202012,LV9LVZ0Z,0,2,0,39.9
202101,Z0LVL40L,0,3,0,94.6
202012,Z000FA80V,0,2,0,14.7
202102,LV40494FA,0,3,0,24.9
202101,LV0L0V,0,3,0,21
202102,LLO80LO89Z,0,2,0,64.6
202012,L48VLOV,0,3,0,14
202101,FA0FALOV904,0,2,2,11.3
202102,LZFAZZZ0L,2,0,0,45.3
202101,FA0480V84,0,2,0,65.1
202011,L94Z0V08,0,1,0,36.8
202012,LZ0L9VLOZ,0,3,0,3.6
202011,L44LO0LLOL,3,0,0,18.3
202101,L0Z04LO,2,0,0,62.1
202011,L9V4LO9Z0,NULL,3,3,27.6
202101,FA0FAZM098,0,1,0,67.4
202101,L8FAFAVFA,0,3,3,72.7
202101,LZV0840Z,3,0,0,55.5
202102,80LFALVVL,0,3,0,98.3
202102,L800Z09FA,1,0,0,35.9
202012,L00LLLOL4,0,3,0,36.1
202101,FA0V0Z0L8,0,1,1,65.3
202102,9FA4098FA,0,3,0,51.3
202102,LV9FA4080,2,0,0,14.8
202012,FA00V00L4,0,3,3,99.5
202102,FA00ZZFA0Z,0,1,1,77.8
202012,L04LOVVFAL,2,0,0,35.5
202011,L9LOZ00FA9,0,2,2,24.1
202012,LZZ04FA0LO,3,0,0,86.3
202102,9009VFA49,3,0,0,79.5
202101,L0LOLL8V8,1,0,0,91.2
202011,LVV9V8VFA,0,1,0,61.7
202011,L9ZFA0ZFA0,0,3,3,83.6
202102,90LFA88V9,2,0,0,62.9
202102,L90FA9004,0,2,0,12.6
202011,LZM0FA4V0,0,3,0,52
202101,L9040V08,0,3,0,51.1
202012,L90ZMV,0,3,0,1.6
202102,9V8Z4,3,0,0,54.8
202012,LL9Z8V40,0,2,2,55
202012,LLO4L9LL0,3,0,0,27.8
202011,LV90FAZLO9,3,0,0,63.5
202011,LLOZL8ZML,0,3,0,1.1
202102,L9LOFA04V8,0,2,0,29.2
202012,L904FA094,0,3,0,45.5
202012,L9FA08098,0,2,0,68.5
202101,FA048040V,0,2,0,88.6
202102,L9ZML8FA8,0,2,0,56.1
202102,L9LFAL880,0,2,2,93.3
202101,L90L08FALO,0,2,2,37.9
202012,LFA9FAZL89,0,3,0,98.8
202101,LLO8909V9,0,3,3,18.3
202011,LZ80V98L,0,3,3,49.3
202011,LLOV0VLOL9,0,2,0,68.1
202102,LFAZ00ZLL,2,0,0,53
202012,L4LOZ0L89,0,3,0,45.8
202102,L0LO0004Z,0,2,0,43.7
202101,LV80LLFAL,0,2,0,23.8
202102,8V4480L,0,3,0,46.1
202011,FA0LZ9804,0,3,0,93.2
202101,L8V89LVZ,0,1,1,87.4
202011,L4L904L9,0,1,0,23.7
202011,L09ZFA94V,0,2,0,49.4
202011,LZ4Z8FA8FA,2,0,0,38.2
202011,L8090LZZ,0,3,0,23.3
202011,LV809LFAL,3,0,0,48.3
202012,LO04FA4V00,0,2,2,24.8
202101,Z0LZ000Z,0,3,0,51.9
202102,LLOZLO00ZL,0,3,0,8.9
202012,FA0L89FA,0,3,3,29.3
202012,Z044FAZ80,0,1,0,83.6
202011,L4L84ZLOZ,0,1,0,27.2
202101,FA0ZVZ800,0,3,0,14.4
202012,LZ9804FAV,0,1,0,51
202011,LVZL80FA0,2,0,0,99.1
202102,L8LL4884,3,0,0,53.1
202101,L8490Z0LO,0,3,0,50.4
202011,LO00LL884,3,0,0,12.8
202012,ZVZMV0V4,0,2,0,25.4
202102,FA09L80VLO,0,3,0,40.6
202011,80LVFA8LL,NULL,3,0,54.7
202102,L04FAV0FA4,3,0,0,80
202101,L49FA0FAFA0,0,2,2,71
202101,FA0480FALOL,0,2,0,40
202101,L4009ZM9,0,1,0,60.8
202012,L00VFAFA8V,0,2,0,8.6
202102,LVLO08888,0,3,0,87.2
202101,900LOV0LO8,0,33,4,60.1
202101,LV0094V4,0,3,0,41.3
202102,LLOL40FA,0,3,0,47.8
202101,L80LLO904,1,0,0,11.7
202012,L844LLO98,0,1,1,66.9
202102,LVV89VV0,0,2,0,91.7
202012,L900ZM04,0,1,1,96.1
202012,LLVV00Z0,0,3,0,36.8
202011,L90L8FAZ4,0,3,0,12
202102,90LFA8LOL9,2,0,0,64.7
202102,LFAVFAFAFALOL,0,3,0,18.5
202102,L90480LLO,0,3,0,30.4
202102,LFA8880VL,0,1,0,98.8
202102,L4LV0V0FA,0,2,0,96.8
202101,L4LO08VFAZ,3,0,0,69.3
202012,V0ZFALFALL,1,0,0,37.9
202102,VLO00840,3,0,0,27
202102,L9ZVZM8LO,0,1,0,40.5
202101,FA00LOLL9FA,0,1,0,29.9
202101,LFAVV840V,2,0,0,46.4
202102,FA0Z8LOL8Z,0,2,0,35.1
202011,L4L80844,0,1,0,31.6
202102,FA0VLO9LZ4,0,3,0,1.8
202102,ZZFA4FA4,1,0,0,12.7
202101,L9VLOV808,0,1,1,78.1
202012,800VVL00,1,0,0,14.4
202102,FA0084L9V,0,3,0,5.8
202101,LLLOLVV09,1,0,0,71.3
202102,L8L4L004,0,2,0,3.7
202102,L8LFA4ZVFA,0,3,0,40.5
202101,800LLVZ,0,3,0,31.8
202011,L9LOVZFALZ,0,3,0,14.9
202011,ZZVFAL8ZV,2,0,0,42.8
202012,L89V8088,0,3,0,67.4
202011,LLLO808Z8,2,0,0,2.3
202102,FA0VZM49FA,0,3,0,49.2
202011,Z0LO08Z0Z,3,0,0,98.4
202102,LZ940048,1,0,0,85.4
202101,8004V0V0,0,1,1,89.3
202011,LLO9V8LO44,0,3,0,98.3
202012,LV808V08,3,0,0,40.5
202101,Z08Z9VLOFA,0,3,0,89.7
202102,L94FAZV0LO,0,3,0,49.2
202102,LLOZZZ8LZ,3,0,0,14.4
202012,L908V9FAL,0,3,0,52.4
202101,FA04FALO48LO,0,3,0,98.3
202101,800VLV0LO,0,1,0,91
202011,Z09LO9LZV,0,1,0,37.4
202101,FA0V9ZV,0,3,0,85.6
202011,LZMZ000FA,0,2,0,87.7
202102,LV0449,3,0,0,27.1
202101,V0Z00FA00,0,1,0,50.2
202011,V089V48LO,0,3,0,42.5
202102,FA0Z09LO08,0,3,0,95.7
202101,L0LOVZZ48,1,0,0,66.6
202012,L49V4VFAL,3,0,0,80.8
202012,V0LVLOV40,1,0,0,47.8
202011,L8V4LOL8FA,1,0,0,40.5
202012,L90LLO948,0,1,0,97.1
202011,LV490L48,0,1,0,86.7
202102,L489088LO,3,0,0,12.2
202012,LL04LOL84,0,3,0,61.9
202102,Z008Z80L,1,0,0,37.3
202012,LO0LO0FAL4LO,0,1,0,49.7
202101,L8004004,2,0,0,97.6
202012,LLO489L,0,3,0,65.8
202012,L80Z9FALV,0,3,0,92.9
202012,ZZZ00040,2,0,0,84.2
202011,LLFAFALOZLOV,2,0,0,2.7
202012,LZM44V4FA,0,1,0,66
202101,LVZLO9FAL0,3,0,0,47.5
202011,LV8ZZVLOZ,3,0,0,54.2
202101,LLO8008LLO,0,3,0,19.5
202012,LFAVZ09LO8,2,0,0,89.4
202102,FA0LO849V8,0,3,0,96.3
202012,900ZL9Z,0,2,0,98.7
202101,LVVFA800Z,0,3,3,54
202012,L4ZVLOVLOV,0,3,0,21
202012,90LZLO00LO,2,0,0,48.3
202011,LVL9L0FA4,0,3,0,40.6
202012,ZZZ04LLO8,1,0,0,77.3
202102,L9ZV0L0LO,0,2,2,29.4
202011,L008V0ZV,1,0,0,56.7
202102,L8L89VZ8,3,0,0,88.8
202012,LFAV0VFALO0,1,0,0,99.7
202101,L009FA949,2,0,0,1.5
202011,LLOFA8LVZL,3,0,0,10.7
202101,LV8ZFA0VL,0,3,0,96.8
202102,L8ZZ9LL9,0,2,0,66.3
202101,LLVVV00L,0,1,0,98
202011,L800400L,0,2,2,34
202101,900FA08LO9,2,0,0,14.4
202102,L04FA0FA0FA,0,3,0,60.4
202011,L98Z84,0,3,0,45.8
202102,LVZ0LLOV0,0,2,2,43.3
202012,ZZVZ0VZ9,3,0,0,68.7
202011,L8LOLLFAV0,0,1,0,81.4
202012,LZ404V0L,0,3,0,18.4
202101,LFALOV4V,2,0,0,88.9
202102,L49LZ80L,0,3,0,87.6
202101,LFAZZ9LZM,2,0,0,44
202011,LLO0L0FAZ4,0,2,0,21
202102,L4ZLO4FAFAL,2,0,0,33.6
202101,L8ZVLZZV,NULL,3,0,57.4
