ID,ANTIG_UEDÄD,STATUS,MONTO,MEDIO_PAGO,PAQUETE,ID_OFERTA,MAPEO_PR,PROBABILIDAD
L8LLO9Z0LO,07 A 11,activo,172569.2,#N/D,SPURS,Y79G54,2,0.9911
LVLOZZ809,12 A 23,IMPAGO,273953.605,0,VIKING ARMOUR,B92375,2,0.9463
L9890LO09,00 A 06,IMPAGO,189826.12,#N/D,SPURS,Y79G54,N,0.9404
FA0LZ90FA8,00 A 06,activo,125112.67,0,SPURS,Y79G54,N,0.6889
FA0FAV0LO40,00 A 06,IMPAGO,267050.837,0,VIKING ARMOUR,JSF89A,N,0.3356
849LV49,60 Y MAS,BAJA,237282.65,BITCOIN,VIKING ARMOUR,B92375,2,0.6105
88Z80V8,60 Y MAS,activo,235988.381,GOLD,VIKING ARMOUR,B92375,4,0.9797
LZM8LV0L,12 A 23,BAJA,207083.04,BITCOIN,SPURS,Y79G54,2,0.0249
L9FAFA0V98,00 A 06,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.6251
LLOL9ZL04,12 A 23,IMPAGO,,#N/D,SPURS,Y79G54,#N/D,0.9055
V088LFAZ9,24 A 47,ACTIVO,192846.081,GOLD,VIKING ARMOUR,90LD2,4,0.8611
LL49LZLFA,48 A 60,IMPAGO,159626.51,0,SOIL,Y79G54,1,0.96
L0VLOVFA00,48 A 60,activo,241596.88,TYP2,SPURS,Y79G54,6,0.6015
V0VLOL4VL,60 Y MAS,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.4903
L8L89FA08,12 A 23,IMPAGO,254539.57,#N/D,VIKING ARMOUR,B92375,2,0.5826
L4L98V,00 A 06,IMPAGO,159626.51,#N/D,SOIL,Y79G54,N,0.3762
LLOLFAFA09Z,24 A 47,IMPAGO,401223.39,0,VIKING ARMOUR,Y79G54,3,0.4762
LV400L8LO,12 A 23,BAJA,,#N/D,#N/D,#N/D,#N/D,0.5662
FA0Z088V0,00 A 06,IMPAGO,,#N/D,DRAGONS,JSF89A,#N/D,0.907
LV84LZFA0,07 A 11,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.4795
L840LLFAFA,07 A 11,activo,,#N/D,VIKING ARMOUR,Y79G54,#N/D,0.9278
90L4V0FALO,60 Y MAS,BAJA,,#N/D,VIKING ARMOUR,90LD2,#N/D,0.1773
L880VLOFA0,00 A 06,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.8336
L8L804VFA,07 A 11,ACTIVO,176883.43,#N/D,VIKING ARMOUR,JSF89A,2,0.4202
L80LLO9LOV,12 A 23,IMPAGO,,#N/D,VIKING ARMOUR,B92375,#N/D,0.6083
LZLO000LO0,24 A 47,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.5136
ZZZ98V8L,60 Y MAS,BAJA,125112.67,GOLD,DRAGONS,90LD2,2,0.5075
800V9408,60 Y MAS,ACTIVO,250225.34,BITCOIN,VIKING ARMOUR,B92375,4,0.2307
LVV9ZLL8,12 A 23,BAJA,198454.58,BITCOIN,SPURS,Y79G54,2,0.9083
L90ZVLO00,00 A 06,IMPAGO,273953.605,#N/D,VIKING ARMOUR,B92375,N,0.7596
L84FA9LV4,07 A 11,BAJA,,#N/D,SPURS,Y79G54,#N/D,0.6621
LV4LOLV04,12 A 23,IMPAGO,310624.56,0,VIKING ARMOUR,Y79G54,3,0.7904
FA0LOVFALO00,00 A 06,ACTIVO,,#N/D,VIKING ARMOUR,B92375,#N/D,0.1728
L849LOLZ0,07 A 11,IMPAGO,172569.2,0,SPURS,JSF89A,2,0.7103
LFALO8LLOFA4,24 A 47,activo,543592.98,GOLD,VIKING ARMOUR,Y79G54,6,0.5229
L80V40ZLO,12 A 23,IMPAGO,235125.535,#N/D,SPURS,Y79G54,2,0.4766
LLZZ44L0,48 A 60,ACTIVO,228654.19,GOLD,NAVAL,B92375,2,0.3061
L90L0FALO9,07 A 11,activo,181197.66,BITCOIN,SPURS,Y79G54,N,0.4884
LFAV0LOFA80,24 A 47,ACTIVO,237282.65,GOLD,VIKING ARMOUR,B92375,2,0.1947
L9FAVV9FA9,07 A 11,IMPAGO,150998.05,ETHER,SOIL,Y79G54,N,0.9785
FA0ZZ4LZLO,00 A 06,IMPAGO,,#N/D,SPURS,JSF89A,#N/D,0.0742
L90FALFA8L,00 A 06,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.6284
L80LO8Z0V,12 A 23,IMPAGO,273953.605,TYP2,VIKING ARMOUR,B92375,1,0.8374
LVFA04L,12 A 23,activo,198454.58,BITCOIN,SPURS,Y79G54,1,0.8485
L88VFA089,07 A 11,IMPAGO,,#N/D,VIKING ARMOUR,B92375,#N/D,0.4473
88VVFAV0,60 Y MAS,BAJA,323567.25,GOLD,VIKING ARMOUR,Y79G54,4,0.9273
80ZFAFA,60 Y MAS,BAJA,,#N/D,#N/D,#N/D,#N/D,0.8489
L4LOL00,00 A 06,IMPAGO,215711.5,#N/D,SPURS,Y79G54,N,0.8668
FA00FA00FA0,00 A 06,IMPAGO,159626.51,#N/D,SOIL,Y79G54,N,0.1946
FA0ZLO080Z,00 A 06,IMPAGO,,#N/D,SPURS,Y79G54,#N/D,0.8033
L9Z0LOZ00,00 A 06,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.5661
LO04VLO4L0,60 Y MAS,IMPAGO,141075.321,0,#N/D,#N/D,2,0.4761
L8009L,00 A 06,IMPAGO,215711.5,#N/D,VIKING ARMOUR,B92375,N,0.2186
L84LO0040,07 A 11,IMPAGO,217868.615,#N/D,SPURS,Y79G54,2,0.4219
L9000V0FA,07 A 11,IMPAGO,261010.915,#N/D,SPURS,Y79G54,N,0.9028
80L0FA404,60 Y MAS,IMPAGO,208808.732,TYP2,SPURS,90LD2,4,0.8607
L8040VZL,12 A 23,activo,327881.48,#N/D,VIKING ARMOUR,Y79G54,2,0.8201
L880LO8L8,07 A 11,IMPAGO,,#N/D,SPURS,Y79G54,#N/D,0.0271
L8804940,07 A 11,IMPAGO,444365.69,#N/D,VIKING ARMOUR,Y79G54,N,0.814
8004L00FA,60 Y MAS,IMPAGO,200180.272,0,DRAGONS,90LD2,2,0.5853
L0LV9LLO0,48 A 60,IMPAGO,,#N/D,SPURS,Y79G54,#N/D,0.8604
FA009L0,00 A 06,IMPAGO,99227.29,#N/D,VIKING ARMOUR,JSF89A,N,0.3712
LO0LOFA0VFAL,12 A 23,activo,158763.664,0,SOIL,90LD2,2,0.6576
LVZ04ZLO4,12 A 23,IMPAGO,,#N/D,DRAGONS,JSF89A,#N/D,0.1097
LLOZZFAZLOV,12 A 23,IMPAGO,394752.045,0,VIKING ARMOUR,Y79G54,3,0.0496
LZMLVFA0Z,12 A 23,activo,196297.465,0,SOIL,Y79G54,1,0.0623
L94LFA4L9,00 A 06,IMPAGO,211397.27,#N/D,DRAGONS,B92375,N,0.4088
LZFA090LO0,24 A 47,IMPAGO,393457.776,GOLD,VIKING ARMOUR,Y79G54,4,0.151
L400ZLOZV,24 A 47,BAJA,170412.085,GOLD,DRAGONS,B92375,2,0.4523
LZ9V840LO,24 A 47,IMPAGO,468525.378,TYP2,VIKING ARMOUR,Y79G54,4,0.0694
L49LOL4FAV,24 A 47,IMPAGO,250225.34,0,VIKING ARMOUR,B92375,3,0.5683
LO0VLO04LO0,60 Y MAS,IMPAGO,,#N/D,SOIL,90LD2,#N/D,0.8905
FA0Z00Z98,00 A 06,activo,,#N/D,SOIL,Y79G54,#N/D,0.1077
LFALZZFAZM,24 A 47,activo,,#N/D,SOIL,Y79G54,#N/D,0.8543
L904Z0Z0,07 A 11,IMPAGO,273953.605,#N/D,VIKING ARMOUR,B92375,N,0.5282
L9Z0949L,00 A 06,activo,273953.605,#N/D,VIKING ARMOUR,B92375,N,0.1298
L8FAFALLL0,07 A 11,IMPAGO,258853.8,TYP2,SPURS,Y79G54,2,0.8498
LV4ZLO9L4,12 A 23,IMPAGO,,#N/D,SOIL,Y79G54,#N/D,0.6052
LZV084LV,24 A 47,ACTIVO,207083.04,0,SPURS,Y79G54,4,0.808
LLZ4FAFA,00 A 06,activo,194140.35,GOLD,SOIL,Y79G54,N,0.5456
900ZMLOZLO,48 A 60,IMPAGO,,#N/D,SPURS,90LD2,#N/D,0.2378
800V9408,60 Y MAS,BAJA,250225.34,BITCOIN,VIKING ARMOUR,B92375,4,0.1732
L9ZFA4FAVFA,00 A 06,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.1717
L000490V,48 A 60,BAJA,254539.57,0,SPURS,Y79G54,4,0.8997
LFAV08L,24 A 47,activo,,BITCOIN,SOIL,B92375,2,0.6769
LLOZV4L,12 A 23,IMPAGO,,#N/D,VIKING ARMOUR,B92375,#N/D,0.0646
LLV00VZ0,48 A 60,IMPAGO,159626.51,0,SOIL,Y79G54,1,0.4157
V94FA49L,60 Y MAS,BAJA,,#N/D,#N/D,#N/D,#N/D,0.1569
LL9LV8FA9,24 A 47,BAJA,207083.04,0,SPURS,Y79G54,4,0.4039
LO04LZ4LOFA,60 Y MAS,IMPAGO,,#N/D,DRAGONS,90LD2,#N/D,0.9814
LVZM90Z9,12 A 23,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.362
FA0Z88980,00 A 06,IMPAGO,,#N/D,SPURS,Y79G54,#N/D,0.8728
LLOZ88FAL9,12 A 23,ACTIVO,323567.25,0,VIKING ARMOUR,B92375,4,0.721
LLO4LO40FA8,12 A 23,IMPAGO,,#N/D,VIKING ARMOUR,B92375,#N/D,0.6132
L8ZZ9048,07 A 11,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.2601
L809V984,07 A 11,activo,273953.605,#N/D,VIKING ARMOUR,B92375,2,0.5781
LLOV8FAZL9,12 A 23,IMPAGO,140212.475,0,DRAGONS,B92375,1,0.6552
LLOV00FA89,12 A 23,IMPAGO,286896.295,0,VIKING ARMOUR,B92375,2,0.0862
L9Z4FA800,07 A 11,IMPAGO,172569.2,#N/D,DRAGONS,B92375,N,0.8854
L8VLOVVLLO,00 A 06,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.2988
L9LLOL98V,07 A 11,IMPAGO,150998.05,#N/D,SOIL,Y79G54,N,0.1642
90L000FA8,48 A 60,BAJA,,#N/D,SPURS,90LD2,#N/D,0.8384
L9FALO9FA00,07 A 11,BAJA,237282.65,BITCOIN,VIKING ARMOUR,B92375,N,0.5255
V09V4LOZ,60 Y MAS,BAJA,,#N/D,#N/D,#N/D,#N/D,0.2589
L90LO0Z4V,00 A 06,IMPAGO,,#N/D,SOIL,Y79G54,#N/D,0.2249
800FAZ0Z,60 Y MAS,IMPAGO,597089.432,0,VIKING ARMOUR,Y79G54,6,0.4501
V04L4FA00,60 Y MAS,BAJA,170412.085,GOLD,DRAGONS,B92375,2,0.0746
L9LLL040,07 A 11,IMPAGO,215711.5,TYP2,SPURS,Y79G54,N,0.8904
LVVLOZFALOL,12 A 23,IMPAGO,181197.66,GOLD,SPURS,Y79G54,2,0.611
L9Z09VVL,00 A 06,IMPAGO,181197.66,#N/D,SPURS,Y79G54,N,0.1376
L0898FAV0,48 A 60,BAJA,254539.57,0,SPURS,Y79G54,4,0.9458
L9V0FA8,00 A 06,IMPAGO,181197.66,GOLD,SPURS,Y79G54,N,0.1559
L8088FALOFA,07 A 11,IMPAGO,157469.395,#N/D,SPURS,Y79G54,2,0.628
LO0VL,60 Y MAS,BAJA,103541.52,GOLD,DRAGONS,B92375,2,0.1584
FA0FA0400L,00 A 06,activo,125112.67,0,SPURS,Y79G54,N,0.8765
FA00FA8VLLO,00 A 06,IMPAGO,250225.34,0,VIKING ARMOUR,B92375,N,0.5745
LZ44LLOFA0,24 A 47,IMPAGO,286896.295,TYP2,VIKING ARMOUR,B92375,4,0.2187
LO0ZV40VFA,24 A 47,activo,,#N/D,VIKING ARMOUR,90LD2,#N/D,0.1502
LZ4LO0LOV8,24 A 47,BAJA,258853.8,BITCOIN,VIKING ARMOUR,Y79G54,2,0.6835
FA0Z0L0Z0,00 A 06,IMPAGO,,#N/D,VIKING ARMOUR,Y79G54,#N/D,0.1823
L0,60 Y MAS,BAJA,,#N/D,#N/D,#N/D,#N/D,0.6002
LO0FAZM4VV,60 Y MAS,BAJA,273953.605,BITCOIN,VIKING ARMOUR,B92375,2,0.5839
LFA4ZZL00,24 A 47,IMPAGO,,#N/D,NAVAL,B92375,#N/D,0.5422
LVLLOZ0LZ,12 A 23,activo,207083.04,TYP2,SPURS,Y79G54,2,0.9974
9FAV0L44,60 Y MAS,BAJA,560849.9,BITCOIN,VIKING ARMOUR,Y79G54,4,0.0927
L8FAZLO0L4,12 A 23,BAJA,207083.04,#N/D,VIKING ARMOUR,B92375,2,0.7809
V0LLLV8V,60 Y MAS,BAJA,107855.75,0,DRAGONS,90LD2,2,0.8763
FA0FA9800L,00 A 06,activo,,#N/D,SPURS,JSF89A,#N/D,0.755
LLOV9L00FA,12 A 23,IMPAGO,323567.25,0,VIKING ARMOUR,B92375,3,0.7179
L00L08LOFA,60 Y MAS,IMPAGO,243753.995,0,SPURS,Y79G54,3,0.3296
ZZLOL400Z,60 Y MAS,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.0465
LO0LFAZMLOZ,60 Y MAS,ACTIVO,170412.085,GOLD,DRAGONS,B92375,2,0.9045
L0800ZLO9,48 A 60,activo,,#N/D,SOIL,Y79G54,#N/D,0.4989
9Z98FA44,60 Y MAS,IMPAGO,,#N/D,VIKING ARMOUR,Y79G54,#N/D,0.1958
L80Z0L9V,12 A 23,BAJA,99227.29,#N/D,DRAGONS,B92375,2,0.4564
FA0Z0LOFALZ,00 A 06,IMPAGO,,#N/D,SPURS,JSF89A,#N/D,0.6819
LZLO04FAL0,24 A 47,BAJA,286896.295,0,VIKING ARMOUR,B92375,4,0.6104
V0000FA4FA,60 Y MAS,ACTIVO,232968.42,GOLD,DRAGONS,JSF89A,2,0.6652
L9VV09L0,00 A 06,activo,120798.44,#N/D,SPURS,Y79G54,N,0.6458
L9Z400LOFA,00 A 06,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.0471
L8Z9Z0FA0,07 A 11,IMPAGO,340824.17,#N/D,VIKING ARMOUR,B92375,4,0.7886
9L40404,60 Y MAS,BAJA,198454.58,0,SPURS,Y79G54,3,0.1183
LLOLZV0LO0,12 A 23,IMPAGO,207083.04,GOLD,SPURS,Y79G54,1,0.3638
V08904V0,24 A 47,IMPAGO,286896.295,0,VIKING ARMOUR,B92375,4,0.9245
L9Z04ZV0,00 A 06,activo,237282.65,#N/D,VIKING ARMOUR,B92375,N,0.155
LLO0ZV4VL,24 A 47,activo,196297.465,0,SOIL,Y79G54,2,0.5474
L98LVV0Z,00 A 06,IMPAGO,252382.455,#N/D,VIKING ARMOUR,B92375,N,0.9845
L9V94004,00 A 06,IMPAGO,237282.65,#N/D,VIKING ARMOUR,B92375,N,0.9375
L0FA0Z0ZLO,60 Y MAS,IMPAGO,412008.965,ETHER,VIKING ARMOUR,B92375,4,0.6482
LFA4ZVL40,24 A 47,activo,506922.025,0,VIKING ARMOUR,Y79G54,6,0.0565
LO04880V0,60 Y MAS,BAJA,141075.321,BITCOIN,DRAGONS,90LD2,2,0.209
L4ZL0080,24 A 47,activo,325724.365,GOLD,VIKING ARMOUR,Y79G54,4,0.0397
L40FAVVZ4,24 A 47,IMPAGO,196297.465,0,SOIL,Y79G54,1,0.2415
VVFAFALV9,60 Y MAS,IMPAGO,207083.04,GOLD,SPURS,Y79G54,4,0.9357
V0L80Z8FA,60 Y MAS,activo,,#N/D,DRAGONS,90LD2,#N/D,0.3297
LVV9LFAZZ,12 A 23,IMPAGO,166097.855,0,DRAGONS,JSF89A,2,0.9808
LL0LOL94Z,48 A 60,IMPAGO,235125.535,GOLD,SPURS,Y79G54,4,0.4522
LO09FA0VZFA,60 Y MAS,activo,332195.71,#N/D,NAVAL,B92375,4,0.197
LLOV0LO0LO0,12 A 23,BAJA,207083.04,0,SPURS,Y79G54,2,0.6889
LFA80ZZLO9,24 A 47,IMPAGO,273953.605,0,VIKING ARMOUR,B92375,4,0.5274
L980Z04FA,00 A 06,IMPAGO,157469.395,#N/D,SPURS,Y79G54,N,0.2747
L94VFA8ZL,00 A 06,IMPAGO,,#N/D,DRAGONS,Y79G54,#N/D,0.0276
LV90LFA0V,12 A 23,activo,273953.605,GOLD,VIKING ARMOUR,B92375,1,0.9501
L4044Z8Z,24 A 47,BAJA,228654.19,BITCOIN,NAVAL,B92375,1,0.6379
Z0LOL4V49,60 Y MAS,BAJA,280424.95,GOLD,VIKING ARMOUR,Y79G54,2,0.8427
V00FAZ40V,60 Y MAS,activo,135898.245,0,DRAGONS,90LD2,2,0.176
LFALFAL4,24 A 47,BAJA,228654.19,USD,NAVAL,B92375,2,0.6652
Z04L8LVL,60 Y MAS,BAJA,408557.581,BITCOIN,NAVAL,90LD2,4,0.1771
LVLL80,12 A 23,BAJA,150998.05,GOLD,SOIL,Y79G54,2,0.8193
LV048ZV0,12 A 23,IMPAGO,,#N/D,VIKING ARMOUR,Y79G54,#N/D,0.3079
LVL0090LO,12 A 23,IMPAGO,304153.215,0,#N/D,#N/D,4,0.6401
LLO9LOV09FA,12 A 23,IMPAGO,286896.295,0,VIKING ARMOUR,B92375,2,0.5294
L00FA8ZL9,60 Y MAS,BAJA,405537.62,TYP2,VIKING ARMOUR,Y79G54,4,0.057
LZ48900FA,24 A 47,IMPAGO,250225.34,0,VIKING ARMOUR,B92375,3,0.6837
V84LOL,60 Y MAS,BAJA,194140.35,BITCOIN,DRAGONS,Y79G54,2,0.1244
L90ZLLOFAL,07 A 11,IMPAGO,127269.785,GOLD,VIKING ARMOUR,JSF89A,N,0.0291
LZ4L0Z00,24 A 47,activo,,#N/D,SPURS,Y79G54,#N/D,0.1023
FA04089FAV,00 A 06,activo,,#N/D,SPURS,Y79G54,#N/D,0.6652
L9Z08LFA0,00 A 06,ACTIVO,,#N/D,VIKING ARMOUR,Y79G54,#N/D,0.7295
L9FAVLL,00 A 06,IMPAGO,,#N/D,SPURS,JSF89A,#N/D,0.4203
VV8ZZ8V,60 Y MAS,activo,512099.101,#N/D,DRAGONS,90LD2,4,0.703
LZ80FAV04,24 A 47,BAJA,189826.12,0,SPURS,Y79G54,4,0.1298
LVV0LLFAL,12 A 23,IMPAGO,196297.465,0,SOIL,Y79G54,2,0.2314
LLOZZMFA04,12 A 23,activo,563007.015,TYP2,VIKING ARMOUR,Y79G54,6,0.9511
LO04Z8094,60 Y MAS,activo,135898.245,0,DRAGONS,90LD2,2,0.4462
LV4VV9L0,12 A 23,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.0946
8000LFAFAFA,60 Y MAS,IMPAGO,286896.295,BITCOIN,#N/D,#N/D,3,0.0012
LV000LO08,12 A 23,activo,404674.774,0,VIKING ARMOUR,JSF89A,6,0.3497
LVLOL98LV,12 A 23,IMPAGO,196297.465,TYP2,SOIL,Y79G54,2,0.1878
L9Z0FAFAFA0,07 A 11,ACTIVO,,#N/D,VIKING ARMOUR,JSF89A,#N/D,0.9986
90L00LOFA0,12 A 23,activo,,0,SPURS,90LD2,2,0.5192
900LO4L89,60 Y MAS,IMPAGO,,#N/D,VIKING ARMOUR,90LD2,#N/D,0.5913
900ZZFAFA9,24 A 47,BAJA,,#N/D,SPURS,90LD2,#N/D,0.2634
L890FAL0L,07 A 11,activo,187669.005,GOLD,SOIL,Y79G54,N,0.837
9004FAL89,48 A 60,IMPAGO,,#N/D,VIKING ARMOUR,90LD2,#N/D,0.432
V0Z8L49FA,48 A 60,BAJA,,#N/D,#N/D,#N/D,#N/D,0.852
L90FA0004,00 A 06,IMPAGO,373180.895,#N/D,VIKING ARMOUR,B92375,N,0.9496
L80LLFALOZ,07 A 11,IMPAGO,,#N/D,SOIL,Y79G54,#N/D,0.9674
L8FA0Z0VLO,07 A 11,IMPAGO,394752.045,#N/D,VIKING ARMOUR,Y79G54,4,0.3236
ZZVLOFALO0L,60 Y MAS,IMPAGO,189826.12,GOLD,SPURS,Y79G54,4,0.3411
L4Z04LO9Z,24 A 47,activo,157469.395,0,NAVAL,JSF89A,2,0.1809
L9LO080ZFA,00 A 06,activo,340824.17,#N/D,VIKING ARMOUR,Y79G54,N,0.3657
900VZ,60 Y MAS,BAJA,229948.459,BITCOIN,DRAGONS,90LD2,2,0.1835
FA0V8LLO4Z,00 A 06,IMPAGO,,#N/D,VIKING ARMOUR,B92375,#N/D,0.9374
LZ4LVVLFA,24 A 47,IMPAGO,412008.965,0,VIKING ARMOUR,Y79G54,6,0.5425
L49LO9FAFA4,24 A 47,BAJA,140212.475,0,DRAGONS,B92375,2,0.5967
LL0904FA8,48 A 60,IMPAGO,241596.88,#N/D,SPURS,Y79G54,4,0.9635
L9V4VZ80,00 A 06,IMPAGO,,#N/D,SOIL,Y79G54,#N/D,0.8175
LZ88LO04Z,24 A 47,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.8219
ZZ48LO48LO,60 Y MAS,BAJA,236419.804,BITCOIN,DRAGONS,90LD2,2,0.7281
L9FAFA09ZL,00 A 06,activo,,#N/D,SOIL,Y79G54,#N/D,0.9116
LVLOLV0LOL,12 A 23,activo,799858.242,GOLD,VIKING ARMOUR,Y79G54,4,0.5031
LZ9LO8V,24 A 47,IMPAGO,172569.2,GOLD,SPURS,JSF89A,2,0.5522
LVLLLO4V4,12 A 23,IMPAGO,,#N/D,VIKING ARMOUR,B92375,#N/D,0.4991
L8VLOL0LFA,07 A 11,IMPAGO,,#N/D,VIKING ARMOUR,B92375,#N/D,0.9368
FA0L00FAFA9,00 A 06,activo,250225.34,0,VIKING ARMOUR,B92375,N,0.5312
LLZFAFA890,48 A 60,IMPAGO,140212.475,BITCOIN,DRAGONS,B92375,1,0.847
LO0LL0LOZ9,60 Y MAS,IMPAGO,226497.075,GOLD,DRAGONS,Y79G54,2,0.2291
L88VLOVZFA,07 A 11,IMPAGO,237282.65,#N/D,VIKING ARMOUR,B92375,N,0.3154
L80L0L9L,12 A 23,IMPAGO,273953.605,TYP2,VIKING ARMOUR,B92375,2,0.8732
V0Z8ZFAL,60 Y MAS,BAJA,504333.487,TYP2,VIKING ARMOUR,Y79G54,6,0.3589
L9V08Z40,00 A 06,IMPAGO,207083.04,BITCOIN,VIKING ARMOUR,B92375,N,0.7258
L8ZLO09LL,07 A 11,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.9312
L8FAFAFA4V8,12 A 23,IMPAGO,237282.65,0,VIKING ARMOUR,B92375,2,0.3026
8ZV4084,60 Y MAS,BAJA,530218.867,BITCOIN,VIKING ARMOUR,Y79G54,4,0.2844
L80FAFA0FA0,12 A 23,activo,350315.476,#N/D,VIKING ARMOUR,Y79G54,4,0.47
FA04L8LZFA,00 A 06,activo,,#N/D,SOIL,Y79G54,#N/D,0.7263
LZ90LOVLLO,24 A 47,IMPAGO,159626.51,GOLD,SOIL,Y79G54,2,0.4307
L49LLZ84,24 A 47,BAJA,314938.79,0,VIKING ARMOUR,B92375,4,0.1658
L4FALLO8FAL,24 A 47,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.1784
L488L9LLO,24 A 47,BAJA,310624.56,0,VIKING ARMOUR,Y79G54,4,0.5803
LVZM0000,12 A 23,activo,312781.675,GOLD,VIKING ARMOUR,Y79G54,4,0.0863
L4LFALZ89,24 A 47,IMPAGO,,#N/D,#N/D,#N/D,#N/D,0.089
VLO90ZZM,60 Y MAS,ACTIVO,545318.672,BITCOIN,VIKING ARMOUR,Y79G54,4,0.5261
LZMZFA0LLO,12 A 23,IMPAGO,286896.295,0,VIKING ARMOUR,B92375,2,0.9654
FA00LO8804,00 A 06,IMPAGO,250225.34,0,VIKING ARMOUR,B92375,N,0.0196
LZ80400V,24 A 47,ACTIVO,327881.48,GOLD,VIKING ARMOUR,Y79G54,4,0.7888
V0FA9VV,60 Y MAS,BAJA,375338.01,0,VIKING ARMOUR,Y79G54,4,0.3101
809FALO0Z,60 Y MAS,BAJA,,#N/D,#N/D,#N/D,#N/D,0.1555
FA0FA8ZMLLO,00 A 06,BAJA,250225.34,0,VIKING ARMOUR,B92375,N,0.6301
LZLOVLO8ZL,24 A 47,IMPAGO,189826.12,0,SPURS,Y79G54,4,0.6442
LV9FA9000,12 A 23,IMPAGO,245479.687,GOLD,VIKING ARMOUR,JSF89A,2,0.78
LFAL9LO9ZLO,24 A 47,BAJA,267482.26,ETHER,SPURS,Y79G54,4,0.5948
L80FA0LZ9,07 A 11,IMPAGO,310624.56,#N/D,VIKING ARMOUR,B92375,1,0.3004
